date	location	assignment	species	group	treatment	non_dedup	dedup	all_reads
250107	BoDT	Rhinovirus C56	Rhinovirus C	Rhinoviruses	Filtration, CP, Zymo, Polyadenylated	12	12	328894
250109	BoDT	RSVB	RSV-B	Mononegavirales	Filtration, CP, Qiagen, Polyadenylated	2	2	243294
250113	BoDT	Human coronavirus OC43	HCoV-OC43	Coronaviruses (seasonal)	Filtration, Qiagen	4	3	108589
250113	BoDT	Rhinovirus A94	Rhinovirus A	Rhinoviruses	Filtration, CP, Qiagen, Polyadenylated	1	1	299089
250113	BoDT	Rhinovirus A94	Rhinovirus A	Rhinoviruses	Filtration, Qiagen	6	5	108589
250115	BoDT	Human coronavirus NL63	HCoV-NL63	Coronaviruses (seasonal)	Filtration, Qiagen	19	14	708774
250116	BoDT	Human coronavirus OC43	HCoV-OC43	Coronaviruses (seasonal)	Filtration, Qiagen	1	1	40750
250116	BoDT	RSVA	RSV-A	Mononegavirales	Filtration, Amicon, Qiagen	10	10	185349
250116	BoDT	Human coronavirus NL63	HCoV-NL63	Coronaviruses (seasonal)	Filtration, Amicon, Qiagen	12	9	185349
250116	BoDT	Human coronavirus NL63	HCoV-NL63	Coronaviruses (seasonal)	Filtration, Qiagen	1	1	40750
250116	BoDT	RSVA	RSV-A	Mononegavirales	Filtration, Qiagen	1	0	40750
250123	BoDT	Human coronavirus HKU1	HCoV-HKU1	Coronaviruses (seasonal)	Filtration, Qiagen	130	74	439809
250123	BoDT	Human coronavirus HKU1	HCoV-HKU1	Coronaviruses (seasonal)	Filtration, Amicon, Qiagen	1	1	313957
250123	BoDT	Rhinovirus C42	Rhinovirus C	Rhinoviruses	Filtration, Qiagen	5	4	439809
250123	BoDT	Rhinovirus C42	Rhinovirus C	Rhinoviruses	Filtration, Amicon, Qiagen	3	3	313957
250123	BoDT	Human coronavirus NL63	HCoV-NL63	Coronaviruses (seasonal)	Filtration, Qiagen	2	2	439809
